index,real_sentence,fake_sentence
4692,Irrational Exuberance,rational Exuberance
4693,The seventh century El Moallaqah or The Hanging Church gets its name from its location it was built between two towers of the Roman gate and claims to be the oldest church in Egypt as its foundations date from the fourth century.,The seventh century El Moallaqah or The Hanging Church gets its name from its location it was built between two towers of the Roman gate and claims to be the new church in Egypt as its foundations date from the fourth century.
4694,No other car was following us.,No same car was following us.
4695,He had debated whether or not to bring his guns and blades and ended up deciding to bring them.,He had debated whether or not to bring his guns and blades and ended up deciding to bring them.
4696,"He seemed somewhat 104 apathetic in the search, as though he expected no great results from it. ","He seemed somewhat 104 apathetic in the search, as though he expected no great results from it."
4697,"If there's one person (using drugs), that is a start, said Robertson, 52, a native of Jamaica.","If there's one person( using drugs), that is a start, said Robertson, 52, a native of Jamaica."
4698,"Schor's right--it is depressing when people get into the grip of an all-engulfing need to establish their identity by buying stuff, especially if it's stuff they can't afford.","Schor's right-- it is depressing when people get into the grip of an all-engulfing need to establish their identity by buying stuff, especially if it's stuff they can't afford."
4699,"On a governmentwide basis, Congress, under the bi-partisan leadership of this Committee and the House Government Reform Committee, has established a statutory framework consisting of requirements for goal-setting and performance measurement, financial management, and information technology management, all aimed at improving the performance, management, and accountability of the federal government.","On a governmentwide basis, Congress, under the bi-partisan leadership of this Committee and the House Government Reform Committee, has established a statutory framework consisting of requirements for goal-setting and performance measurement, nonfinancial management, and information technology management, all aimed at improving the performance, management, and accountability of the unitary government."
4700,"Indeed, the ad accuses Clinton, rather than his critics, of invoking legal mumbo jumbo to obscure the immorality of his misconduct.","Indeed, the ad accuses Clinton, rather than his critics, of invoking illegal mumbo jumbo to obscure the immorality of his misconduct."
4701,"The Wolfson Museum is upstairs, exhibiting an exceptional collection of Judaica.","The Wolfson Museum is downstairs, exhibiting an exceptional collection of Judaica."
4702,but uh anyway that was a French movie it was um that was the last one i saw downtown but i i live in DC well actually Falls Church Virginia outside the city,but uh anyway that was a French movie it was um that was the first one i saw uptown but i i live in DC well actually Falls Church Virginia outside the city
4703,on the refund yeah Alabama did that too and i always thought well this is pretty nifty you taxed me when i made the money the feds,on the refund yeah Alabama did that too and i always thought well this is immoderately nifty you taxed me when i made the money the feds
4704,yeah seems like they should regulate themselves a little bit and i don't think they ever care to,yeah seems like they should regulate themselves a big bit and i don't think they ever care to
4705,Tuppence bent lower still.,Tuppence bent high still.
4706,"The 22,000 MWe difference, between the number of FGDs which would be cost effective to build and the estimated number based on resources, would be pushed back a few years to be completed by 2010.","The 22,000 MWe difference, between the number of FGDs which would be cost ineffective to build and the estimated number based on resources, would be pushed back a many years to be completed by 2010."
4707,Computer pioneers John Von Neumann and Alan Turing were also mentioned--big surprise that their names should crop up in an Internet forum.,Computer pioneers John Von Neumann and Alan Turing were also mentioned-- little surprise that their names should crop up in an Internet forum.
4708,"But he did disprove, for an unimportant but magnificent moment, W. H. Auden's dictum that poetry makes nothing happen.","But he did disprove, for an important but magnificent moment, W. H. Auden's dictum that poetry makes nothing happen."
4709,"It was fired to celebrate the first wedding of Mary, Queen of Scots, to Francois II in 1558.","It was fired to celebrate the last wedding of Mary, Queen of Scots, to Francois II in 1558."
4710,sounds like you're you're very responsible very financially responsible it's uh,sounds like you're you're very irresponsible very financially irresponsible it's uh
4711,"They came to it not long after leaving the town, and Tommy stopped the car promptly, asked in a casual tone whether the path led down to the sea, and hearing it did paid off the man in handsome style.","They came to it not long after leaving the town, and Tommy stopped the car promptly, asked in a casual tone whether the path led down to the sea, and hearing it did paid off the man in handsome style."
4712,They may prevent you from associating with the senator at an exclusive cocktail party for lobbyists and other large givers--but that's the whole idea.,They may prevent you from associating with the senator at an inclusive cocktail party for lobbyists and same little givers-- but that's the fractional idea.
4713,Are the techniques of data gathering and data processing explictly described?,Are the techniques of data gathering and data processing explictly described?
4714,But the IRS isn't out of control.,But the IRS isn't out of control.
4715,"Because the published recommendations will include supporting text, he encouraged the group to consider any points of clarification that would be instructive.","Because the published recommendations will include supporting trade_edition, he encouraged the group to consider any points of clarification that would be uninstructive."
4716,"In 1995 the gallery and London's Victoria and Albert Museum jointly purchased The Three Graces, a sculpture by Antonio Canova that was in danger of being sold abroad.","In 1995 the gallery and London's Victoria and Albert Museum jointly purchased The Three Graces, a sculpture by Antonio Canova that was in danger of being sold abroad."
4717,"For some, the climb is an act of the mountain is revered as the abode of Japan's ancestral gods.","For some, the climb is an act of the mountain is revered as the abode of Japan's ancestral gods."
4718,"The clues are not obvious, but they are not too hard to get either, especially after a second or third rerun.","The clues are not unobvious, but they are not too easy to get either, especially after a first or third rerun."
4719,"Mitchell, what happened here? Muller turned to the man at his far right.","Mitchell, what happened here? Muller turned to the man at his far right."
4720,What is odd about these libertarian conclusions is that they do not at all follow from the premises.,What is even about these necessitarian conclusions is that they do not at all follow from the premises.
4721,"The SEC prepared an Initial Regulatory Flexibility Analysis (IRFA) in connection with the proposed rule, which was summarized in the notice of proposed rulemaking (61 Fed.","The SEC prepared an Initial Regulatory Flexibility Analysis( IRFA) in connection with the proposed rule, which was summarized in the notice of proposed rulemaking( 61 Fed."
4722,"The test of our hypothesis, however, does not involve predicting unit costs of other posts.","The test of our hypothesis, however, does not involve predicting unit costs of same posts."
4723,"Across the board, in fact, investors are willing to overlook short-term losses due to strikes if they feel that a company's hard line will pay off in lower costs down the road.","Across the board, in fact, investors are disinheriing to overlook short-term losses undue to strikes if they feel that a company's easy line will pay off in high costs down the road."
4724,A surer recipe for disaster has never been devised.,A surer recipe for disaster has never been devised.
4725,unless there's something i'm particularly listening to but you know if you go two or three years without having that what i got the most exposure to,unless there's something i'm particularly listening to but you know if you go two or three years without having that what i got the most exposure to
4726,"He cuts back on the hot air, descends and yells to a man he spots on the ground.","He cuts back on the cold air, descends and yells to a man he spots on the ground."
4727,"Tours of the brewery itself are not offered, but the Guinness Visitor Centre, in a four-story converted 19th-century building, presents a wonderful history of the world of Guinness.","Tours of the brewery itself are not offered, but the Guinness Visitor Centre, in a four-story converted 19th-century building, presents a wonderful history of the world of Guinness."
4728,"He urged Christians to pursue a kinder, gentler  What we need are people who live out their faith in every walk of life, in politics, but also working in crisis pregnancy centers, drug treatment programs, and homeless shelters.","He urged Christians to pursue a kinder, gentler What we need are people who live out their faith in every walk of life, in politics, but also working in crisis pregnancy centers, drug treatment programs, and homeless shelters."
4729,"(The of supranational NGO lobbying in general is analyzed by Jessica Mathews in the January/February Foreign Affairs .) Thus the old left, intentionally or not, is pushing us from national regulation to supranational regulation--albeit, in this case, a kind of private-sector supranational regulation.","( The of supranational NGO lobbying in local is analyzed by Jessica Mathews in the January/February Foreign Affairs.) Thus the new left, intentionally or not, is pushing us from international regulation to supranational regulation-- albeit, in this case, a kind of private-sector supranational regulation."
4730,How do you suggest I approach the topic?,How do you suggest I approach the topic?
4731,"They were driven out of Lower Egypt by Ahmose I who founded the 18th Dynasty, ruling over a united Egypt from a capital at Thebes.","They were driven out of Lower Egypt by Ahmose I who founded the 18th Dynasty, ruling over a disunifed Egypt from a capital at Thebes."
4732,Their very different characters offer visitors  two cities for the price of one.  ,Their very like characters offer visitors two cities for the price of one.
4733,Leading organizations recognize the role of IT in supporting mission accomplishment and seek to integrate it with business operations.,Leading organizations recognize the role of IT in supporting mission accomplishment and seek to integrate it with business operations.
4734,golly that's terrible isn't it,golly that's terrible isn't it
4735,yeah they are if uh kind of depends on what you're looking for mine's just a one bedroom place that's uh,yeah they are if uh kind of depends on what you're looking for mine's just a one bedroom place that's uh
4736,Clinton on Trial,Clinton on Trial
4737,uh the most recent movie i saw uh i'm afraid was uh well two two of them actually uh the Rain Man was one,uh the most recent movie i saw uh i'm unafraid was uh well two two of them actually uh the Rain Man was one
4738,Monti believed that a decision to screen only for patients with severe alcohol problems is premature.,Monti believed that a decision to screen only for patients with severe alcohol problems is full-term.
4739,"The doggie deposited several droplets of precious liquid from his tiny, pure-breed bladder into the puddle.","The doggie deposited several droplets of precious liquid from his tiny, pure-breed bladder into the puddle."
4740,"The team now faces China, which crushed defending champion Norway 5-0.","The team now faces China, which crushed defending champion Norway 5-0."
4741,"At Sandycove, below the Joyce Museum, is the famous Forty Foot bathing spot, once a men's nude beach, but now open to everyone.","At Sandycove, below the Joyce Museum, is the famous Forty Foot bathing spot, once a men's nude beach, but now close to everyone."
4742,Poirot bundled everything out on the floor with scant ceremony. ,Poirot bundled everything out on the floor with scant ceremony.
4743,as well as objective (how close did the completed facility come to the original cost and schedule objectives?),as well as objective( how close did the completed facility come to the unoriginal cost and schedule objectives?)
4744,The kids.,The kids.
4745,i need to go over there and stay about twenty years so i can just travel go around all the places Stonehenge of course you know every everybody makes the obligatory trip to Stonehenge,i need to go over there and stay about twenty years so i can just travel go around all the places Stonehenge of course you know every everybody makes the optional trip to Stonehenge
4746,Shadow's small daughter breakfasted.,Shadow's big daughter breakfasted.
4747,"Vouchers, passes, letters of introduction, and printed business cards all work like magic when a confirmed reservation has become unconfirmed. ","Vouchers, passes, letters of introduction, and printed business cards all work like magic when a confirmed reservation has become confirmed."
4748,"Once auction invoked the incomprehensible high-speed chatter of a tobacco dealer, building to the giddy crescendo, Sold American!","Once auction invoked the comprehensible high-speed chatter of a tobacco dealer, building to the giddy crescendo, Sold American!"
4749,"While I have no doubt there will be diversion, my uneducated guess is that the glide path will be longer and the incline not so steep.","While I have no doubt there will be diversion, my educated guess is that the glide path will be short and the incline not so gradual."
4750,"The easy-going Louis XV was called the Bien-Aim?? (Beloved), at least in the first half of his reign.","The easy-going Louis XV was called the Bien-Aim??( Beloved), at most in the last half of his reign."
4751,they always have to think you know what's the weather doing and,they always have to think you know what's the weather doing and
4752,He calls for bold liberal reforms.,He calls for timid conservative reforms.
4753,The Ministry of Agriculture and Fisheries oversees licences.,The Ministry of Agriculture and Fisheries oversees licences.
4754,oh i'm sorry go ahead,oh i'm unregretful go ahead
4755,"Let's not dwell on the sheer dishonesty of insinuating that I, or any serious writers on evolutionary psychology, believe infidelity or genocide or anything else is rendered inevitable genetically.","Let's not dwell on the sheer dishonesty of insinuating that I, or any frivolous writers on evolutionary psychology, believe infidelity or genocide or anything else is rendered evitable genetically."
4756,and uh it was a little bit to bulky to bring all the way down to the to the beach with us and we probably should have found some way to do that or but uh and it was hot and we had a little trouble keeping ice it didn't last as long as we had planned so we had to buy that a little more often but uh the beach just couldn't uh couldn't have been any better a good place to dive for balls,and uh it was a big bit to bulky to bring all the way down to the to the beach with us and we probably should have found some way to do that or but uh and it was cold and we had a big trouble keeping ice it didn't first as long as we had planned so we had to buy that a little more often but uh the beach just couldn't uh couldn't have been any bad a bad place to dive for balls
4757,An evil drill sergeant woke up in Edward.,An evil drill sergeant woke up in Edward.
4758,Organizational support/ The executive regularly participates in activities and projects intended to further the goals of the Service Delivery Network and VBA as a whole while functioning as a dedicated and skillful team player.,Organizational support/ The executive regularly participates in activities and projects intended to further the goals of the Service Delivery Network and VBA as a whole while functioning as a desecrated and skillful team player.
4759,"Beaches close to Tokyo and Osaka are crowded (except after 1 September, when summer for the Japanese has officially ended).","Beaches close to Tokyo and Osaka are crowded( except after 1 September, when summer for the Japanese has officially ended)."
4760,right what made you all decide to put her or had what made her decide to go,right what made you all decide to put her or had what made her decide to go
4761,my oldest yeah my oldest daughter is hard headed as can be,my new yeah my new daughter is easy headed as can be
4762,"Although national saving as a share of GDP remains below the 1960s average, annual GDP growth in recent years reached levels similar to the 1960s average of 4.2 percent.","Although international saving as a share of GDP remains below the 1960s average, biennial GDP growth in recent years reached levels dissimilar to the 1960s average of 4.2 percent."
4763,Shopping in Venice,Shopping in Venice
4764,I read about it in the books from Beforethewars.,I read about it in the books from Beforethewars.
4765,More than 20% of patients who were thought to be intoxicated had no alcohol in their blood.,fewer than 20% of patients who were thought to be intoxicated had no alcohol in their blood.
4766,"The marauders, drunk on victory, cut at them with sharp knives.","The marauders, drunk on victory, cut at them with dull knives."
4767,"Approval thresholds, for example, should show which officials have the authority to review and approve acquisitions.","Approval thresholds, for example, should show which officials have the authority to review and approve acquisitions."
4768,and uh we went and saw uh Les Les Les Miserables,and uh we went and saw uh Les Les Les Miserables
4769,Murcia's cathedral stands on the plaza named in honour of Cardinal Belluga.,Murcia's cathedral stands on the plaza named in honour of Cardinal Belluga.
4770,well we had the problem when i was in with teaching um i was eighth and ninth graders that i worked with and if we did have a a student come in and they were drunk or they were on something you had the option of calling the police and have them taken out of the schools or trying to teach them something while they were there,well we had the problem when i was in with teaching um i was eighth and ninth graders that i worked with and if we did have a a student come in and they were drunk or they were on something you had the option of calling the police and have them taken out of the schools or trying to teach them something while they were there
4771,I pretended to be rather dazed murmured something about the 'doctor'  ,I pretended to be rather dazed murmured something about the'doctor'
4772,"They let others tease out the implications of their story for them, connecting the dots among Scaife, Starr, and Hale : The billionaire endowed a position for Starr at Pepperdine University (which Starr has subsequently declined) and then bankrolled Hale, Starr's chief witness.","They let others tease out the implications of their story for them, connecting the dots among Scaife, Starr, and Hale: The billionaire endowed a position for Starr at Pepperdine University( which Starr has subsequently declined) and then bankrolled Hale, Starr's chief witness."
4773,Physicians will unionize against managed care.,Physicians will unionize against managed care.
4774,yeah it is you know an even back then i remember you could make something for you know half what it cost to buy and of course the quality was just exceptional,yeah it is you know an even back then i remember you could make something for you know half what it cost to buy and of course the quality was just exceptional
4775,There is a choice of excellent local ethnic cuisine.,There is a choice of excellent express ethnic cuisine.
4776,well it seems like i don't have time for them but i'm i don't work full-time or anything,well it seems like i don't have time for them but i'm i don't work half-time or anything
4777,Funerary artifacts found here are displayed in Mykonos.,Funerary artifacts found here are displayed in Mykonos.
4778,It is found only on the peninsula.,It is found only on the peninsula.
4779,"Still, they may have left something behind them that will be a clue.","Still, they may have left something behind them that will be a clue."
4780,"I have bitten my tongue all week, but I finally said something to the brat.","I have bitten my tongue all week, but I finally said something to the brat."
4781, She never comes,She never comes
4782,yeah well Honda does too  that's why i was really,yeah well Honda does too that's why i was really
4783,He prowled aimlessly about his prison.,He prowled aimlessly about his prison.
4784,"After the disaster at Caporetto, the planned Austro-German 1917 advance across the Veneto plain was held until the Italian counterattack of October November 1918 permitted a triumphant entry into Trento and Trieste.","After the disaster at Caporetto, the planned Austro-German 1917 advance across the Veneto plain was held until the Italian counterattack of October November 1918 permitted a triumphant entry into Trento and Trieste."
4785,"For example, one organization determined that more formal agreements were needed when its membership was significantly expanded.","For example, one organization determined that more informal agreements were needed when its membership was significantly expanded."
4786,"Best Practices of Leading Commercial Companies12 DOD's Traditional Approach to Product Development15 DOD's Adoption of Best Practices16 Objectives, Scope, and Methodology17","Best Practices of Leading noncommercial Companies12 DOD's Traditional Approach to Product Development15 DOD's Adoption of Best Practices16 Objectives, Scope, and Methodology17"
4787,The forum highlighted identified best practices and tools that can be used by federal agencies and other facility owners to manage and/or oversee design reviews throughout the facility,The forum highlighted identified bad practices and tools that can be used by unitary agencies and same facility owners to manage and/or oversee design reviews throughout the facility
4788,"Moreover, even if the '80s dramatized Soviet economic incompetence because the U.S. economy was growing so rapidly, this is no reason for the Soviet empire to implode in the way that it did.","Moreover, even if the'80s dramatized Soviet economic incompetence because the U.S. economy was growing so rapidly, this is no reason for the Soviet empire to implode in the way that it did."
4789,"Architects and sculptors treat the myriad parks and gardens as set designs, and nature turns the landscapes, replete with statuesque cypresses, tortuous olive and fig trees, and rows of vineyards, into so many artful backdrops for the daily brio and histrionics of la vita italiana.","Architects and sculptors treat the myriad parks and gardens as set designs, and nature turns the landscapes, replete with statuesque cypresses, tortuous olive and fig trees, and rows of vineyards, into so few artless backdrops for the daily brio and histrionics of la vita italiana."
4790,yeah but uh those are all great the the interesting thing we're getting ready to have a house built,yeah but uh those are all great the the boring thing we're getting unready to have a house built
4791,"With the richness and vigor of its mural paintings, Cave 17 represents the summit of Ajanta's artistry.","With the richness and vigor of its mural paintings, Cave 17 represents the summit of Ajanta's artistry."
4792,"Bush heard the word philosopher, seized on a related concept--Christ--and simply ignored the other key elements in the question, like political and identify with and why.","Bush heard the word philosopher, seized on a dissociated concept-- Christ-- and simply ignored the same atonality elements in the question, like nonpolitical and identify with and why."
4793,"The Kodak-Fuji case was, as innumerable press accounts have pointed out, the most important case to come before the WTO in its two years of existence.","The Kodak-Fuji case was, as innumerable press accounts have pointed out, the most insignificant case to come before the WTO in its two years of existence."
4794,I can't say that my art's intended to give any particular message.,I can't say that my art's intended to give any general message.
4795,A creative mix of international and local cuisine that includes a good vegetarian selection.,A uncreative mix of national and express cuisine that includes a bad vegetarian selection.
4796,"Grisham, it is clear, wants nothing to stand in the way of his central point--that a man who surrenders all his worldly possessions to defend the homeless is a hero.","Grisham, it is bounce, wants nothing to stand in the way of his peripheral point-- that a man who surrenders all his unworldly possessions to defend the homeless is a hero."
4797,have a good day bye-bye,have a bad day bye-bye
4798, There is one shot.,There is one shot.
4799,"That door was also bolted, as I had stated. ","That door was also bolted, as I had stated."
4800,well like what tell me,well like what tell me
4801,A three-second period before getting in the shower is worth far less than three seconds taken from the middle of my daughter's wedding.,A three-second period before getting in the shower is worthlessness far more than three seconds taken from the middle of my daughter's wedding.
4802,"In practice, it's more complicated.","In practice, it's more simplifed."
4803,Like an old party boss--and he is an old party boss--Yeltsin purges his administration regularly.,Like an new party boss-- and he is an new party boss-- Yeltsin purges his administration regularly.
4804,"At the Equal Justice Conference (EJC) held in March 2001 in San Diego, LSC and the Project for the Future of Equal Justice held the second Case Management Software pre-conference.","At the Equal Justice Conference( EJC) held in March 2001 in San Diego, LSC and the Project for the Future of Equal Justice held the first Case Management Software pre-conference."
4805,"When you consider how large a role economics plays in our national debate--and how much of the public discussion of economics is dominated by cranks and poseurs--seeing a serious economist like Barro get offered what is still, by private sector standards, a fairly modest paycheck doesn't seem particularly out of line.","When you consider how little a role economics plays in our international debate-- and how little of the private discussion of economics is dominated by cranks and poseurs-- seeing a frivolous economist like Barro get offered what is still, by public sector standards, a fairly immodest paycheck doesn't seem particularly out of line."
4806,"Babur the Tiger, descendant of Timur the Lame and of Genghis Khan, accepted their welcome but made no promises.","Babur the Tiger, descendant of Timur the Lame and of Genghis Khan, accepted their welcome but made no promises."
4807," They flew on, beyond the city toward the construction camp that had been Hanson's headquarters.","They flew on, beyond the city toward the construction camp that had been Hanson's headquarters."
4808,Thorn and the Kal will help prepare the spikes.,Thorn and the Kal will help prepare the spikes.
4809,"The crowd cheered, seeing a killing blow coming soon.","The crowd cheered, seeing a killing blow coming soon."
4810,"Well, 'sorry' won't make the dog's leg grow back!","Well,'sorry' won't make the dog's leg grow back!"
4811,That was probably for the best.,That was probably for the bad.
4812,"Many injured ED patients are screened with a BAC, which can help identify intoxication.","few uninjured ED patients are screened with a BAC, which can help identify intoxication."
4813,Ancient traditions mark this as the place of Mary's burial and assumption into heaven (while the site of the Dormition Abbey on Mount Zion is the place of Mary's death).,Ancient traditions mark this as the place of Mary's burial and assumption into heaven( while the site of the Dormition Abbey on Mount Zion is the place of Mary's death).
4814,Do you think they know? said Ca'daan.,Do you think they know? said Ca'daan.
4815,"Number of cases in which the USPS was told by the Postal Rate Many years ago, when I was just starting my government career, one of my mentors gave me some advice, in the way of a quote purportedly from one Petronius Arbiter in 210 B.C.","Number of cases in which the USPS was told by the Postal Rate Many years ago, when I was just starting my government career, one of my mentors gave me some advice, in the way of a quote purportedly from one Petronius Arbiter in 210 B.C."
4816,(Have I made the sale?,( Have I made the sale?
4817,"Trials should be conducted starting with other or no opening questions, using other consumption questions such as those in AUDIT, using other screens such as TWEAK rather than CAGE, changing the sequence to CAGE or TWEAK followed by consumption questions, and checking BAC at the beginning or end of the protocol.","Trials should be conducted starting with same or no closing questions, using same consumption questions such as those in AUDIT, using same screens such as TWEAK rather than CAGE, changing the sequence to CAGE or TWEAK followed by consumption questions, and checking BAC at the beginning or end of the protocol."
4818,Table 5.1 summarizes common pitfalls that we have mentioned throughout this paper.,Table 5.1 summarizes individual pitfalls that we have mentioned throughout this paper.
4819,"The ivy-covered, mock-Tudor resort has become something of an institution since it was built in the 1930s.","The ivy-covered, mock-Tudor resort has become something of an institution since it was built in the 1930s."
4820,"And there are real pythons, too.","And there are insubstantial pythons, too."
4821,Frequent  special  evenings with theme entertainment.,boycott special evenings with theme entertainment.
4822,"Therefore, heritage assets are reported in terms of physical units.","Therefore, heritage assets are reported in terms of mental units."
4823,and some we do green and then my wife puts them on pizzas and and chops them up in recipes and things like that,and some we do ripe and then my wife puts them on pizzas and and chops them up in recipes and things like that
4824,"Well, if she can't get a divorce she doesn't have any kind of legal paperwork that would require him to support her [and their children].","Well, if she can't get a divorce she doesn't have any kind of illegal paperwork that would require him to support her[ and their children]."
4825,"Prices vary enormously, so shopping around usually pays off handsomely.","Prices vary enormously, so shopping around usually pays off handsomely."
4826,Cyr reported that a single question in a primary care setting-Have you ever had a drinking problem?,Cyr reported that a common question in a secondary care setting-Have you ever had a drinking problem?
4827,He must act quickly. ,He must act quickly.
4828,"When Adolf Hitler arrived in Paris as a conqueror in 1940, the Arc de Triomphe was the first place he wanted to see.","When Adolf Hitler arrived in Paris as a conqueror in 1940, the Arc de Triomphe was the last place he wanted to see."
4829,The addresses on workshared pieces are generally thought to be more accurate and are almost always machine readable.,The addresses on workshared pieces are generally thought to be fewer inaccurate and are almost always machine readable.
4830,i think ten percent yes of your of your consumer credit,i think ten percent yes of your of your consumer credit
4831,"However, it often is possible-with appropriate instance selection-to obtain adequate generalizability with a manageable number of instances.","However, it often is possible-with inappropriate instance selection-to obtain inadequate generalizability with a unmanageable number of instances."
4832,"In general, my Darwinian strategy is to take no overt romantic actions, in keeping with the founding lie of this journey.","In local, my Darwinian strategy is to take no covert classicist actions, in keeping with the founding lie of this journey."
4833,because because by ten thirty i start to fade,because because by ten thirty i start to fade
4834," ""A good sign,"" a man's voice said.","`` A bad sign,'' a man's voice said."
4835,"Its outdoor tables are a perfect vantage point for admiring the gracefully curving piazza, an exemplary piece of open-air urban theater designed in 1816 by Giuseppe Valadier, architect to Napoleon.","Its indoor tables are a imperfect vantage point for admiring the gracefully curving piazza, an exemplary piece of open-air rural theater designed in 1816 by Giuseppe Valadier, architect to Napoleon."
4836,"It is worth making a detour on the pedestrianized areas of Henry Street and Moore Street, to see their famous markets and hear the cries of the stallholders .","It is worthlessness making a detour on the pedestrianized areas of Henry Street and Moore Street, to see their famous markets and hear the cries of the stallholders."
4837,Then a hand fell on his shoulder.,Then a hand fell on his shoulder.
4838,It was a strange looking egg--more like one of the china eggs used to make hens think they were nesting when their eggs were still being taken from them.,It was a familiar looking egg-- fewer like one of the china eggs used to make hens think they were nesting when their eggs were still being taken from them.
4839,"My  I get insomnia, so I was excited about melatonin.","My I get hypersomnia, so I was excited about melatonin."
4840,and he is uh just recently changed from hearing all the the DWI type stuff to uh doing what they call more of a family court where he gets to go listen to all the divorces so it wasn't much of a step up as it were,and he is uh just recently changed from hearing all the the DWI type stuff to uh doing what they call fewer of a family court where he gets to go listen to all the divorces so it wasn't little of a step up as it were
4841,"Moreover, redirecting trust fund surpluses into the private market (which is what the Moynihan-Kerrey plan essentially does) has one large potential advantage--when the time comes to redeem the securities, the money should really be there.","Moreover, redirecting trust fund surpluses into the public market( which is what the Moynihan-Kerrey plan essentially does) has one little actual advantage-- when the time comes to redeem the securities, the money should really be there."
4842,and other benefits from the government.,and same benefits from the government.
4843,Testimony identified particular issues regarding agricultural workers who are permanent resident aliens and thus eligible for general representation.,Testimony identified general issues regarding agricultural workers who are impermanent resident aliens and thus ineligible for local representation.
4844,"However, upstart John McCain's official site , like Bradley's, is the most popular destination for those who've entered his name into a search engine.","However, upstart John McCain's unofficial site, like Bradley's, is the most unpopular destination for those who've entered his name into a search engine."
4845,13 The smaller variation in U.S. postal densities is due to differences in the quality of delivery service which dampen the impact of low population density on many routes.,13 The big variation in U.S. postal densities is undue to differences in the quality of delivery service which dampen the impact of high population density on few routes.
4846,"But since these suggestions are generated by computer, they can be very weird.","But since these suggestions are generated by computer, they can be very weird."
4847,"The nearby Osaka Municipal Art Museum, near Tennoji Station, is worth visiting for its celebrated Abe Collection of 200 Chinese paintings (ninth 13th centuries) and its Ming- and Ching-dynasty ceramics (14th 19th centuries).","The nearby Osaka Municipal Art Museum, near Tennoji Station, is worthlessness visiting for its celebrated Abe Collection of 200 Chinese paintings( ninth 13th centuries) and its Ming- and Ching-dynasty ceramics( 14th 19th centuries)."
4848,you know i just i guess i have kind of like hum kind of real cautious in the whole thing because i know that there's a motive that hasn't been openly discussed or revealed to anybody and uh that's where that's why i really don't have a real,you know i just i guess i have kind of dislike hum kind of insubstantial brave in the fractional thing because i know that there's a motive that hasn't been openly discussed or revealed to anybody and uh that's where that's why i really don't have a insubstantial
4849,but i uh what i did with my garden is i have a a two by six frame that's five by ten i have two of them sitting side by side,but i uh what i did with my garden is i have a a two by six frame that's five by ten i have two of them sitting side by side
4850,okay and that's because they cater to their own people,okay and that's because they cater to their own people
4851,yeah i i'm i really don't know what the Belgians i mean they have do they really have an identity  or i mean i think they have they have an identity crisis a lot of these countries they they really don't know you know what supposed to do,yeah i i'm i really don't know what the Belgians i mean they have do they really have an identity or i mean i think they have they have an identity crisis a lot of these countries they they really don't know you know what supposed to do
4852,"A museum, in the Place Alfred-Thomas, details the combined Anglo-French operation to capture this stretch of Sword Beach, with uniforms and weapons used during the action, including a pocket submarine and Goliath tank.","A museum, in the Place Alfred-Thomas, details the uncombined Anglo-French operation to capture this stretch of Sword Beach, with uniforms and weapons used during the action, including a pocket submarine and Goliath tank."
4853,right right well i i work on GM cars only and i haven't noticed that that much usually the metrics will fit they're so close there's an overlap,right right well i i work on GM cars only and i haven't noticed that that much usually the metrics will fit they're so close there's an overlap
4854,"To cater to Western tastes, the major cities KL, Georgetown, Melaka, Johor Bahru, Kuantan, Kuching, and Kota Kinabalu and the beach resorts have nightclubs and cocktail lounges with live music.","To cater to eastern tastes, the minor cities KL, Georgetown, Melaka, Johor Bahru, Kuantan, Kuching, and Kota Kinabalu and the beach resorts have nightclubs and cocktail lounges with dead music."
4855,"Worse yet, large insurance discounts are illegal in many states.","better yet, little insurance discounts are legal in few states."
4856,"In addition to regular art exhibitions, this wildly abstract structure features Osaka's IMAX wide-screen theater.","In addition to constipated art exhibitions, this wildly concrete structure features Osaka's IMAX wide-screen theater."
4857,huh because what i was what i was going to ask you is it seems like the next big jump will come with color printing you were talking about doing your own presentation and foils it would seem that color capability would be the next big sort of leap in presentation,huh because what i was what i was going to ask you is it seems like the next little jump will come with color printing you were talking about doing your own presentation and foils it would seem that color capability would be the next little sort of leap in presentation
4858,We don't know.,We don't know.
4859,yeah  things like that are just kind of absurd or once in a while they'll they'll keep uh just hounding someone that they're interviewing,yeah things like that are just kind of absurd or once in a while they'll they'll keep uh just hounding someone that they're interviewing
4860,"At last she heard footsteps inside, and a moment later Mrs. Vandemeyer herself opened the door.","At first she heard footsteps inside, and a moment later Mrs. Vandemeyer herself opened the door."
4861,The range of styles and media means that you are sure to find a unique souvenir that suites your taste.,The range of styles and media means that you are uncertain to find a unique souvenir that suites your taste.
4862,"Strangest of all, his lower jaw appeared to be encased in a curved plate of iron.","Strangest of all, his high jaw appeared to be encased in a straighed plate of iron."
4863,"The rock on the Temple Mount from which he ascended, at or close to the site of the ruined Temple, was commemorated by the construction of the Dome of the Rock in 691.","The rock on the Temple Mount from which he ascended, at or close to the site of the ruined Temple, was commemorated by the construction of the Dome of the Rock in 691."
4864, The room was large and sparsely furnished.,The room was little and sparsely furnished.
4865,"Well, higher productivity growth would mean lower inflation for any given rate of wage increase.","Well, low productivity growth would mean high inflation for any given rate of wage increase."
4866,"'And it seems to me,' the Fat Man smiled, 'that we might as well begin at once.'","'And it seems to me,' the Fat Man smiled,'that we might as well begin at once.'"
4867,"No, I don't think I did.","No, I don't think I did."
